gene_symbol,mean_normal,mean_tumor,std_normal,std_tumor,log2FC,pvalue,n_samples,padj
TCHHL1,2.45,2.5,0.23,0.24,0.028,0.4819,25,0.5948
HIST2H2AA3 /// HIST2H2AA4,7.19,7.05,0.4,0.87,-0.028,0.4891,25,0.6015
FGFR1OP2,6.0,6.12,0.23,0.42,0.028,0.2078,25,0.3067
DNAH6,2.15,2.2,0.09,0.14,0.028,0.2354,25,0.3397
MAML1,5.57,5.68,0.14,0.15,0.028,0.0303,25,0.0602
LOC440173,2.43,2.48,0.17,0.21,0.028,0.3525,25,0.4681
TSPAN14,6.03,5.92,0.31,0.28,-0.028,0.1346,25,0.2147
LEMD2,5.13,5.24,0.27,0.33,0.028,0.2101,25,0.3097
LRIT3,2.08,2.04,0.19,0.11,-0.028,0.4204,25,0.5366
ALMS1,4.93,5.02,0.2,0.38,0.028,0.3210,25,0.4350
OR9I1,2.52,2.57,0.22,0.2,0.028,0.3682,25,0.4844
GPR139,2.13,2.09,0.17,0.15,-0.028,0.3538,25,0.4695
C1orf157,2.41,2.36,0.29,0.15,-0.028,0.5395,25,0.6471
Septin 9,6.09,6.21,0.3,0.38,0.028,0.1520,25,0.2376
CLEC4M,2.57,2.52,0.12,0.12,-0.028,0.1541,25,0.2403
LOC100129845,2.68,2.74,0.23,0.26,0.028,0.4824,25,0.5953
CD1E,2.52,2.47,0.11,0.13,-0.028,0.1479,25,0.2322
CCDC130,4.15,4.23,0.26,0.25,0.028,0.2549,25,0.3621
LPAR3,2.43,2.47,0.23,0.31,0.028,0.5130,25,0.6238
ZNF609,4.39,4.3,0.17,0.23,-0.028,0.1431,25,0.2258
CD5,3.13,3.2,0.32,0.4,0.028,0.5387,25,0.6466
ANAPC2,3.25,3.31,0.22,0.23,0.028,0.3127,25,0.4265
BCAN,2.24,2.2,0.15,0.12,-0.028,0.2763,25,0.3855
CHRM5,2.32,2.37,0.15,0.16,0.028,0.3724,25,0.4888
STK11IP,3.15,3.21,0.19,0.12,0.028,0.1799,25,0.2727
KRTAP5-10,2.1,2.06,0.12,0.11,-0.028,0.2022,25,0.3001
KRTAP9-3,3.48,3.55,0.28,0.28,0.028,0.3942,25,0.5104
HOXB6,6.68,6.55,0.59,1.62,-0.028,0.7097,25,0.7899
BCKDK,5.28,5.38,0.23,0.36,0.028,0.1672,25,0.2569
ACTR3,9.28,9.46,0.22,0.28,0.028,0.0181,25,0.0384
TTTY5,2.84,2.78,0.24,0.15,-0.028,0.3812,25,0.4972
SIRT3,4.99,4.9,0.21,0.3,-0.028,0.2612,25,0.3689
ZCCHC3,6.48,6.61,0.24,0.8,0.028,0.4607,25,0.5747
PRR23C,2.18,2.22,0.17,0.15,0.028,0.3944,25,0.5106
GTF2I /// GTF2IP1 /// LOC100093631,9.24,9.42,0.44,0.41,0.028,0.1499,25,0.2349
INTU,2.6,2.55,0.26,0.33,-0.028,0.5795,25,0.6819
GTF2B,8.81,8.64,0.18,0.31,-0.028,0.0386,25,0.0742
CPSF4L,2.24,2.19,0.19,0.23,-0.028,0.4183,25,0.5345
FAM98C,5.82,5.71,0.34,0.51,-0.028,0.3731,25,0.4894
BICD1,3.45,3.52,0.53,0.51,0.028,0.6769,25,0.7638
POTEG /// POTEH,2.1,2.06,0.18,0.27,-0.028,0.5762,25,0.6792
LOC283867,2.12,2.16,0.52,0.23,0.028,0.7091,25,0.7896
C6orf227,2.43,2.48,0.24,0.23,0.028,0.5349,25,0.6434
ZBTB38,7.28,7.14,0.18,0.61,-0.028,0.2580,25,0.3654
ROPN1L,2.75,2.7,0.12,0.22,-0.028,0.3155,25,0.4294
GPC3,4.13,4.21,0.62,1.87,0.028,0.8426,25,0.8906
SNF8,8.41,8.58,0.23,0.48,0.028,0.1056,25,0.1755
KDM2A,6.32,6.44,0.29,0.33,0.028,0.1821,25,0.2754
YIPF7,2.3,2.25,0.14,0.1,-0.028,0.2249,25,0.3269
HOXA2,3.02,2.97,0.2,0.4,-0.028,0.5859,25,0.6874
INO80,4.56,4.65,0.15,0.26,0.028,0.1604,25,0.2484
ARFGAP2,4.27,4.35,0.19,0.31,0.028,0.2345,25,0.3387
TMSB10,12.14,12.38,0.24,0.22,0.028,4.83e-04,25,0.0016
NCRNA00175,2.34,2.3,0.16,0.14,-0.028,0.2642,25,0.3722
KLHDC3,6.73,6.87,0.23,0.25,0.028,0.0881,25,0.1503
SLC9A5,3.11,3.05,0.33,0.37,-0.028,0.5355,25,0.6438
PAGE5,2.22,2.27,0.13,0.14,0.028,0.2116,25,0.3114
CTAGE4 /// CTAGE8 /// CTAGE9,6.58,6.71,0.96,0.97,0.028,0.6336,25,0.7277
APPL1,5.98,6.09,0.4,0.37,0.028,0.2669,25,0.3753
LOC388882,2.34,2.39,0.17,0.19,0.028,0.4234,25,0.5397
C2orf47,5.44,5.54,0.24,0.25,0.028,0.1771,25,0.2690
AHSG,2.54,2.59,0.23,0.47,0.028,0.6470,25,0.7389
LOC100293198,2.94,2.99,0.25,0.25,0.028,0.5233,25,0.6330
CSRP3,2.31,2.26,0.19,0.16,-0.028,0.3526,25,0.4682
ICOS,2.81,2.86,0.35,0.32,0.028,0.5949,25,0.6949
GPR39,3.71,3.64,0.45,0.39,-0.028,0.5668,25,0.6712
ERO1LB,3.4,3.34,0.17,0.37,-0.028,0.3974,25,0.5137
DNM1,3.16,3.1,0.51,0.48,-0.028,0.6831,25,0.7686
TANC1,6.14,6.02,0.31,0.29,-0.028,0.1900,25,0.2852
RPL35A /// ZNF391,12.53,12.78,0.16,0.11,0.028,1.96e-05,25,9.52e-05
TEAD1,4.73,4.82,0.44,0.25,0.028,0.4190,25,0.5351
C1orf141,2.18,2.22,0.14,0.17,0.028,0.3266,25,0.4409
TAS2R16,2.26,2.21,0.16,0.15,-0.028,0.2688,25,0.3773
MAGEB1,2.08,2.12,0.11,0.1,0.028,0.2031,25,0.3011
NETO1,2.12,2.08,0.14,0.1,-0.028,0.2673,25,0.3757
OLFM2,2.84,2.89,0.25,0.25,0.028,0.4393,25,0.5546
SAMD7,2.41,2.36,0.23,0.21,-0.028,0.4906,25,0.6028
FTO,4.08,4.16,0.21,0.15,0.028,0.1248,25,0.2015
OR1A1,2.33,2.28,0.19,0.22,-0.028,0.5109,25,0.6218
EXOG,3.15,3.21,0.25,0.22,0.028,0.3267,25,0.4409
PRAMEF16 /// PRAMEF17,2.27,2.23,0.15,0.16,-0.028,0.3807,25,0.4968
KIRREL,2.47,2.52,0.11,0.11,0.028,0.1055,25,0.1754
SIVA1,3.92,3.99,0.15,0.15,0.028,0.0233,25,0.0478
GORASP1,3.57,3.5,0.16,0.13,-0.028,0.1633,25,0.2521
FLJ25363,2.92,2.87,0.29,0.19,-0.028,0.4288,25,0.5449
KRTAP5-3,2.66,2.61,0.26,0.21,-0.028,0.4522,25,0.5662
ALPK1,3.13,3.2,0.25,0.21,0.028,0.3208,25,0.4349
HIST2H4A /// HIST2H4B,2.94,3.0,0.19,0.27,0.028,0.3484,25,0.4641
TRADD,4.85,4.76,0.21,0.22,-0.028,0.2208,25,0.3225
TTLL5,2.96,3.01,0.18,0.16,0.028,0.2995,25,0.4118
MAGEB3,2.06,2.1,0.11,0.2,0.028,0.3412,25,0.4563
TBC1D15,5.87,5.98,0.2,0.23,0.028,0.0807,25,0.1397
RNF31,5.88,5.77,0.44,0.36,-0.028,0.2941,25,0.4056
USP11,7.5,7.64,0.69,0.84,0.028,0.4503,25,0.5648
DEFB106A /// DEFB106B,2.17,2.13,0.18,0.17,-0.028,0.4651,25,0.5791
OR8G5,2.88,2.83,0.14,0.16,-0.028,0.3104,25,0.4238
PIP5KL1,2.47,2.43,0.2,0.23,-0.028,0.4262,25,0.5422
NDUFA1,11.65,11.43,0.14,0.36,-0.028,0.0108,25,0.0245
C14orf148,2.38,2.33,0.14,0.12,-0.028,0.1819,25,0.2751
TRHR,2.52,2.47,0.15,0.21,-0.028,0.3733,25,0.4895
REG1P,2.25,2.21,0.18,0.2,-0.028,0.3430,25,0.4585
HTR1B,2.42,2.47,0.19,0.16,0.028,0.3615,25,0.4775
STK19,4.05,3.97,0.16,0.23,-0.028,0.2029,25,0.3009
AKAP1,9.02,9.2,0.25,0.48,0.028,0.1220,25,0.1977
PHKG2,5.08,4.98,0.26,0.35,-0.028,0.3372,25,0.4520
FAM32A,8.43,8.27,0.17,0.29,-0.028,0.0200,25,0.0419
RPL3L,2.36,2.32,0.25,0.21,-0.028,0.4475,25,0.5625
DISC2,2.05,2.09,0.14,0.18,0.027,0.4122,25,0.5284
CDC73,6.04,6.16,0.33,0.36,0.027,0.2315,25,0.3349
CD24,12.63,12.4,1.22,0.47,-0.027,0.3867,25,0.5029
TM2D3,5.4,5.3,0.27,0.24,-0.027,0.2548,25,0.3620
AHSP,2.28,2.24,0.19,0.14,-0.027,0.3736,25,0.4898
FAHD2A,6.44,6.56,0.27,0.35,0.027,0.1874,25,0.2821
HTA,2.35,2.3,0.2,0.26,-0.027,0.5764,25,0.6794
OR51D1,3.89,3.81,0.33,0.34,-0.027,0.5139,25,0.6244
CNN3,8.93,8.76,0.58,0.86,-0.027,0.4421,25,0.5571
LOC150568,2.19,2.23,0.11,0.1,0.027,0.1168,25,0.1905
TMEM132D,2.35,2.39,0.14,0.14,0.027,0.2844,25,0.3948
GSDMC,2.43,2.48,0.25,0.22,0.027,0.5065,25,0.6174
C8orf49,2.13,2.18,0.13,0.17,0.027,0.3040,25,0.4167
ARL17A /// LOC100294341 /// LOC646043,3.57,3.64,0.25,0.28,0.027,0.4410,25,0.5561
RBM7,7.61,7.76,0.23,0.6,0.027,0.3379,25,0.4528
S100A7A,2.07,2.11,0.13,0.23,0.027,0.4584,25,0.5725
FGF9,2.67,2.62,0.19,0.28,-0.027,0.4977,25,0.6091
LOC100129831,2.41,2.36,0.27,0.17,-0.027,0.5217,25,0.6315
FAM160B1,5.19,5.1,0.26,0.25,-0.027,0.0978,25,0.1644
EIF3L /// LOC340947,8.84,9.01,0.42,0.48,0.027,0.1786,25,0.2709
OR10S1,2.51,2.56,0.16,0.18,0.027,0.2427,25,0.3482
DCDC2B,2.38,2.43,0.21,0.18,0.027,0.4484,25,0.5635
ATXN7L3,5.11,5.21,0.32,0.2,0.027,0.2139,25,0.3142
RGPD1 /// RGPD2,2.74,2.79,0.39,0.49,0.027,0.5838,25,0.6858
C11orf85,2.94,2.99,0.21,0.18,0.027,0.2902,25,0.4013
SILV,3.41,3.47,0.45,0.28,0.027,0.5676,25,0.6719
NANOG,2.28,2.24,0.17,0.23,-0.027,0.4932,25,0.6049
STK25,5.47,5.58,0.18,0.36,0.027,0.2210,25,0.3225
USP49,2.19,2.23,0.18,0.17,0.027,0.4536,25,0.5678
ANKRA2,6.11,6.23,0.3,0.39,0.027,0.2833,25,0.3935
IFT20,6.48,6.6,0.25,0.38,0.027,0.2514,25,0.3582
CYP2C19,2.38,2.34,0.16,0.12,-0.027,0.2623,25,0.3700
LOC646982,2.44,2.39,0.18,0.2,-0.027,0.3822,25,0.4981
BTBD10,6.98,6.85,0.36,0.43,-0.027,0.2731,25,0.3821
RRAGB,6.71,6.58,0.77,0.65,-0.027,0.5555,25,0.6615
C11orf24,4.76,4.67,0.37,0.48,-0.027,0.4867,25,0.5992
C4orf37,2.43,2.38,0.32,0.22,-0.027,0.5854,25,0.6870
OR4A16,2.46,2.42,0.27,0.21,-0.027,0.5365,25,0.6447
HMCN2,3.18,3.13,0.25,0.22,-0.027,0.4123,25,0.5285
IGDCC3,2.44,2.39,0.15,0.16,-0.027,0.3231,25,0.4372
CLDN10,2.22,2.26,0.16,0.41,0.027,0.6528,25,0.7437
MOCS2,6.5,6.62,0.72,0.44,0.027,0.4248,25,0.5409
APOA1,2.43,2.48,0.16,0.15,0.027,0.3042,25,0.4169
TRIM3,2.79,2.74,0.13,0.16,-0.027,0.2034,25,0.3013
STXBP5L,2.21,2.17,0.12,0.15,-0.027,0.2735,25,0.3825
ICAM4,2.73,2.68,0.23,0.15,-0.027,0.4296,25,0.5455
LOC100132062 /// LOC100133161 /// LOC100133331 /// LOC653340 /// LOC729737,2.49,2.54,0.17,0.16,0.027,0.3094,25,0.4227
OR2F2,3.72,3.65,0.26,0.27,-0.027,0.4544,25,0.5687
HERC4,6.27,6.15,0.25,0.34,-0.027,0.1993,25,0.2966
BTG4,2.22,2.27,0.12,0.15,0.027,0.2552,25,0.3625
LOC100286925,2.42,2.38,0.23,0.25,-0.027,0.5216,25,0.6315
NHLH1,3.91,3.99,0.35,0.21,0.027,0.3776,25,0.4938
ATP6V0E1,9.28,9.11,0.18,0.63,-0.027,0.2032,25,0.3012
COX5B,11.05,10.85,0.18,0.22,-0.027,0.0012,25,0.0035
KCNJ5,2.37,2.32,0.15,0.21,-0.027,0.3588,25,0.4747
C14orf156,10.7,10.9,0.29,0.43,0.027,0.0768,25,0.1338
ACSM2A,2.32,2.28,0.14,0.11,-0.027,0.2128,25,0.3129
NPB,2.81,2.76,0.32,0.3,-0.027,0.6069,25,0.7052
IL33,5.5,5.4,1.3,1.34,-0.027,0.7748,25,0.8404
KRTAP6-3,2.4,2.36,0.18,0.14,-0.027,0.4127,25,0.5290
C1orf57,7.02,7.15,0.3,0.39,0.027,0.0965,25,0.1628
TRPA1,2.58,2.53,0.25,0.2,-0.027,0.5083,25,0.6193
MYLK4,2.66,2.71,0.22,0.24,0.027,0.4433,25,0.5582
ANXA8 /// ANXA8L1 /// ANXA8L2,2.28,2.24,0.16,0.12,-0.027,0.2838,25,0.3939
PBX2,5.3,5.4,0.49,0.45,0.027,0.4901,25,0.6025
MYH8,2.07,2.03,0.17,0.12,-0.027,0.4319,25,0.5478
AMELY,2.85,2.8,0.15,0.14,-0.027,0.1762,25,0.2679
OR5M1,2.32,2.37,0.26,0.19,0.027,0.4732,25,0.5867
ZNF391,2.3,2.35,0.21,0.21,0.027,0.5353,25,0.6437
CCNL2,5.19,5.28,0.31,0.32,0.027,0.3224,25,0.4365
KRTAP25-1,2.15,2.11,0.21,0.18,-0.027,0.5346,25,0.6431
SSTR5,2.22,2.18,0.17,0.14,-0.027,0.3690,25,0.4852
CDC26 /// FKBP15 /// YME1L1,7.34,7.48,0.49,0.72,0.027,0.4544,25,0.5687
APOL4,2.52,2.57,0.17,0.29,0.027,0.4661,25,0.5802
ZNF28 /// ZNF468,2.15,2.19,0.2,0.28,0.027,0.5302,25,0.6391
UCN3,2.58,2.53,0.25,0.18,-0.027,0.4149,25,0.5312
SLC22A13,2.57,2.62,0.25,0.22,0.027,0.5008,25,0.6120
MRPL28,7.26,7.39,0.25,0.3,0.027,0.0447,25,0.0843
TTC31,3.22,3.28,0.12,0.14,0.027,0.1356,25,0.2160
TRPM5,2.41,2.36,0.28,0.24,-0.027,0.5615,25,0.6669
SNX14,5.44,5.34,0.23,0.22,-0.027,0.1737,25,0.2648
COL9A2,2.93,2.98,0.28,0.22,0.027,0.4812,25,0.5942
OR52B2,2.73,2.78,0.23,0.15,0.027,0.3520,25,0.4677
ATP11B,5.76,5.65,0.44,0.28,-0.027,0.3402,25,0.4552
FOXC2,2.46,2.41,0.26,0.16,-0.027,0.4531,25,0.5672
LOC100293342,3.12,3.06,0.28,0.25,-0.027,0.4805,25,0.5936
GPR17,2.37,2.33,0.12,0.13,-0.027,0.2382,25,0.3429
PRPSAP1,6.89,7.02,0.14,0.43,0.027,0.1209,25,0.1962
CD300LF,2.87,2.82,0.25,0.33,-0.027,0.4796,25,0.5928
CD300E,2.7,2.65,0.15,0.17,-0.027,0.2308,25,0.3341
PCBP3,2.45,2.4,0.18,0.18,-0.027,0.2885,25,0.3993
SECISBP2,5.73,5.84,0.35,0.31,0.027,0.2454,25,0.3513
IRX1,2.28,2.32,0.15,0.19,0.027,0.3872,25,0.5034
NKPD1,2.27,2.31,0.17,0.18,0.027,0.3806,25,0.4966
PCDH12,2.77,2.72,0.36,0.37,-0.027,0.6708,25,0.7587
SMARCE1,6.79,6.92,0.33,0.56,0.027,0.2617,25,0.3693
MMGT1,5.72,5.83,0.14,0.43,0.027,0.2466,25,0.3527
RIN3,2.98,2.92,0.21,0.24,-0.027,0.4412,25,0.5563
ZC3H11A,7.6,7.74,0.36,0.35,0.027,0.1219,25,0.1975
OSTCL,2.28,2.24,0.15,0.22,-0.027,0.3986,25,0.5149
TCP10L,2.44,2.4,0.16,0.17,-0.027,0.3432,25,0.4587
LOC100293287 /// LOC730110 /// ZNF492 /// ZNF98,2.12,2.09,0.17,0.2,-0.027,0.5104,25,0.6214
FMR1NB,2.31,2.35,0.24,0.27,0.027,0.5454,25,0.6524
OGDH,4.56,4.47,0.26,0.27,-0.027,0.3202,25,0.4343
MCART6,2.77,2.72,0.2,0.11,-0.027,0.2219,25,0.3236
KIAA0556,3.15,3.09,0.23,0.2,-0.027,0.3807,25,0.4968
DMRT2,2.88,2.94,0.35,0.67,0.027,0.7257,25,0.8030
ADAR,6.35,6.47,0.32,0.26,0.027,0.1528,25,0.2386
LCE1B,2.19,2.15,0.19,0.2,-0.027,0.4028,25,0.5193
FAM47B,2.01,2.05,0.15,0.18,0.027,0.4588,25,0.5726
SPRR2D,2.33,2.38,0.18,0.13,0.027,0.3762,25,0.4925
OR52B6,2.6,2.55,0.25,0.19,-0.027,0.4938,25,0.6054
DLK1,2.41,2.46,0.16,0.16,0.027,0.3454,25,0.4609
LOC440061 /// TRIM64 /// TRIM64B /// TRIM77,2.15,2.19,0.19,0.15,0.027,0.4827,25,0.5955
C1orf185,2.05,2.01,0.1,0.13,-0.027,0.2300,25,0.3331
FLJ45340 /// LOC100132062 /// LOC728534,2.05,2.01,0.21,0.14,-0.027,0.5232,25,0.6330
HMSD,2.33,2.28,0.28,0.35,-0.027,0.6813,25,0.7670
KRTAP20-1,2.32,2.36,0.17,0.17,0.027,0.2840,25,0.3942
DYDC1,2.26,2.22,0.18,0.12,-0.027,0.3554,25,0.4710
AP2A1,3.01,3.07,0.15,0.15,0.027,0.2241,25,0.3262
LHX9,2.14,2.1,0.13,0.11,-0.027,0.2363,25,0.3407
SGSM1,2.61,2.56,0.15,0.16,-0.027,0.3282,25,0.4427
PLCXD1,3.43,3.37,0.38,0.32,-0.027,0.4795,25,0.5928
RAB17,7.03,6.9,1.15,0.45,-0.027,0.6188,25,0.7152
LOC100132215,2.16,2.12,0.16,0.15,-0.027,0.3695,25,0.4858
FDX1,6.78,6.66,0.41,0.37,-0.027,0.2918,25,0.4032
GCOM1 /// GRINL1A,5.41,5.51,0.24,0.3,0.027,0.1548,25,0.2412
FUT2,5.99,5.88,1.38,0.86,-0.027,0.7095,25,0.7898
OPRM1,2.3,2.26,0.15,0.11,-0.027,0.3478,25,0.4635
OR52A5,2.65,2.69,0.3,0.25,0.027,0.5189,25,0.6291
SLC13A5,2.39,2.35,0.21,0.11,-0.027,0.3758,25,0.4921
PSMG2,9.92,10.1,0.15,0.35,0.027,0.0178,25,0.0378
PXDN,6.91,6.78,0.9,1.15,-0.027,0.6803,25,0.7663
MGST2,9.93,10.12,0.41,0.38,0.027,0.0868,25,0.1485
CNOT7,8.56,8.72,0.19,0.56,0.027,0.1983,25,0.2955
FAM109A,4.53,4.62,0.33,0.24,0.027,0.3714,25,0.4877
BMP8A /// BMP8B,2.51,2.56,0.23,0.2,0.027,0.5197,25,0.6298
PRAMEF2,2.33,2.29,0.16,0.18,-0.027,0.4015,25,0.5179
OR5A1,2.31,2.27,0.22,0.16,-0.027,0.3605,25,0.4763
HSF4,2.87,2.81,0.19,0.19,-0.027,0.3369,25,0.4517
OR8H1,2.2,2.24,0.17,0.16,0.027,0.2255,25,0.3276
FBXO40,2.29,2.25,0.14,0.12,-0.027,0.3076,25,0.4208
DNAJC30,4.76,4.85,0.25,0.35,0.027,0.2289,25,0.3319
PRSS54,2.57,2.62,0.17,0.18,0.026,0.3410,25,0.4562
FEZF2,2.08,2.05,0.23,0.17,-0.026,0.5613,25,0.6668
CD70,2.49,2.54,0.18,0.36,0.026,0.5741,25,0.6772
GCKR,2.3,2.34,0.17,0.11,0.026,0.2403,25,0.3452
DCHS1,3.48,3.42,0.4,0.38,-0.026,0.5365,25,0.6447
NR0B1,2.46,2.5,0.15,0.14,0.026,0.3090,25,0.4223
NDUFB2,11.0,10.8,0.2,0.36,-0.026,0.0207,25,0.0431
ODF3L2,2.37,2.41,0.18,0.18,0.026,0.3141,25,0.4280
LAMB4,2.76,2.71,0.16,0.09,-0.026,0.2383,25,0.3430
SLC6A12,2.75,2.7,0.15,0.15,-0.026,0.2931,25,0.4047
NRG3,2.36,2.31,0.1,0.09,-0.026,0.0770,25,0.1341
ELK3,5.77,5.87,0.59,0.58,0.026,0.5762,25,0.6792
FKBP2,9.43,9.26,0.25,0.32,-0.026,0.0412,25,0.0785
SEMA5A,5.7,5.6,0.69,0.89,-0.026,0.6997,25,0.7819
MBD6,3.01,3.07,0.24,0.17,0.026,0.4422,25,0.5572
IPO8,5.03,4.94,0.21,0.29,-0.026,0.1952,25,0.2917
STAT3,8.54,8.39,0.23,0.5,-0.026,0.1757,25,0.2673
ZNF2,2.84,2.89,0.2,0.19,0.026,0.3625,25,0.4787
PTER,6.04,6.16,0.4,0.64,0.026,0.4555,25,0.5698
MADD,5.59,5.49,0.35,0.35,-0.026,0.2556,25,0.3629
TPRX1,2.65,2.6,0.21,0.26,-0.026,0.4565,25,0.5707
ZNF292,6.22,6.11,0.31,0.45,-0.026,0.3776,25,0.4938
PFKP,7.81,7.96,0.42,0.62,0.026,0.3777,25,0.4938
March 6,6.61,6.49,0.21,0.33,-0.026,0.1765,25,0.2683
SLC12A4,3.17,3.11,0.26,0.15,-0.026,0.4103,25,0.5267
CAPS,3.3,3.24,0.26,0.92,-0.026,0.7405,25,0.8146
MPP3,2.76,2.81,0.13,0.2,0.026,0.3476,25,0.4633
SPACA4,2.54,2.49,0.3,0.18,-0.026,0.5395,25,0.6471
ASB11,2.32,2.28,0.16,0.13,-0.026,0.3788,25,0.4949
IGSF1,2.57,2.52,0.21,0.32,-0.026,0.4686,25,0.5826
SCGB1D1,2.33,2.29,0.16,0.21,-0.026,0.4518,25,0.5660
PCDHB17,2.08,2.12,0.12,0.17,0.026,0.2687,25,0.3773
SLC5A12,2.29,2.25,0.12,0.14,-0.026,0.2940,25,0.4056
FAM164C,4.2,4.28,0.35,0.42,0.026,0.5638,25,0.6691
FNDC7,2.48,2.52,0.14,0.12,0.026,0.2072,25,0.3061
CDKL4,2.21,2.17,0.26,0.13,-0.026,0.5241,25,0.6337
OR10G2,2.39,2.43,0.23,0.18,0.026,0.4955,25,0.6071
PPCDC,3.56,3.5,0.27,0.27,-0.026,0.4108,25,0.5271
PARS2,3.92,3.99,0.27,0.25,0.026,0.3151,25,0.4289
ADAM11,2.5,2.45,0.14,0.14,-0.026,0.1345,25,0.2146
TTLL1,3.36,3.3,0.54,0.45,-0.026,0.7155,25,0.7947
DDX3X,5.99,6.1,0.34,0.34,0.026,0.2575,25,0.3650
HIVEP1,4.82,4.74,0.26,0.47,-0.026,0.4859,25,0.5985
FAM48B1,2.37,2.32,0.28,0.16,-0.026,0.5869,25,0.6883
SEMA7A,2.91,2.96,0.17,0.17,0.026,0.2934,25,0.4049
LOC100289511,2.36,2.4,0.12,0.12,0.026,0.2314,25,0.3348
MYSM1,3.78,3.84,0.22,0.29,0.026,0.3595,25,0.4753
PAPD4,6.77,6.9,0.26,0.33,0.026,0.1213,25,0.1967
C22orf15,2.27,2.32,0.12,0.14,0.026,0.2707,25,0.3793
IL1F6,2.42,2.46,0.14,0.17,0.026,0.3712,25,0.4876
DLEU7,2.5,2.46,0.15,0.16,-0.026,0.3803,25,0.4964
DCST1,2.33,2.29,0.2,0.18,-0.026,0.4116,25,0.5278
BCAS2,7.3,7.17,0.31,0.46,-0.026,0.2986,25,0.4109
CHD8,6.46,6.34,0.25,0.33,-0.026,0.1591,25,0.2468
HLA-DPB2,2.25,2.29,0.24,0.22,0.026,0.5382,25,0.6461
PAX1,2.64,2.6,0.14,0.13,-0.026,0.2520,25,0.3588
SV2A,2.84,2.79,0.17,0.2,-0.026,0.3027,25,0.4152
TUBGCP2,3.98,4.06,0.2,0.2,0.026,0.1777,25,0.2698
CCDC92,7.63,7.49,0.6,0.4,-0.026,0.3484,25,0.4641
ARL10,2.45,2.41,0.2,0.14,-0.026,0.4398,25,0.5550
NDFIP1,7.42,7.29,0.19,0.33,-0.026,0.0857,25,0.1469
TRIM61,2.4,2.36,0.11,0.1,-0.026,0.1333,25,0.2129
TAS2R46,2.0,1.96,0.27,0.11,-0.026,0.5754,25,0.6786
IGHMBP2,4.3,4.38,0.51,0.25,0.026,0.4930,25,0.6048
C9orf153,2.09,2.06,0.24,0.13,-0.026,0.4879,25,0.6004
ZSCAN5A,3.61,3.67,0.27,0.44,0.026,0.5546,25,0.6609
LIPI,2.13,2.17,0.15,0.18,0.026,0.4407,25,0.5559
CDC26,8.06,8.21,0.32,0.53,0.026,0.2539,25,0.3611
CLK2,6.55,6.67,0.31,0.36,0.026,0.2492,25,0.3558
PAQR6,2.94,2.89,0.15,0.2,-0.026,0.2108,25,0.3104
SPPL3,7.53,7.39,0.13,0.31,-0.026,0.0777,25,0.1351
DEFB108B /// DEFB108P1 /// LOC100133128 /// LOC100290235,2.35,2.39,0.14,0.13,0.026,0.3545,25,0.4701
AMAC1L2,3.14,3.08,0.35,0.24,-0.026,0.5283,25,0.6375
MAG,2.12,2.16,0.17,0.16,0.026,0.4757,25,0.5891
ABI1,7.06,6.94,0.32,0.25,-0.026,0.1417,25,0.2241
TMEM93,8.47,8.62,0.15,0.34,0.026,0.0676,25,0.1200
GNAS,10.62,10.82,0.43,0.69,0.026,0.2370,25,0.3415
TRIM13,6.21,6.1,0.23,0.55,-0.026,0.3476,25,0.4633
FAM154B,2.23,2.19,0.15,0.15,-0.026,0.3729,25,0.4893
VPS13B,3.63,3.57,0.12,0.14,-0.026,0.1165,25,0.1901
CNTLN,2.94,2.88,0.44,0.49,-0.026,0.7211,25,0.7993
PCMT1,7.87,8.01,0.26,0.37,0.026,0.2009,25,0.2985
SS18,5.6,5.5,0.16,0.41,-0.026,0.3325,25,0.4470
CYP7A1,2.29,2.25,0.12,0.14,-0.026,0.2742,25,0.3832
LCE4A,2.56,2.52,0.18,0.24,-0.026,0.4229,25,0.5391
CCNT2,2.84,2.79,0.21,0.2,-0.026,0.3873,25,0.5035
PANX2,2.61,2.66,0.12,0.14,0.026,0.2276,25,0.3303
VSIG1,2.35,2.4,0.17,0.2,0.026,0.4463,25,0.5611
MAGEA4,2.2,2.24,0.11,0.09,0.026,0.1283,25,0.2063
MORN1,3.07,3.02,0.2,0.15,-0.026,0.3351,25,0.4497
ZNF329,4.98,4.9,0.6,0.61,-0.026,0.5248,25,0.6344
S100A7 /// S100A7A,2.47,2.42,0.48,0.3,-0.026,0.7175,25,0.7963
FAM81B,2.34,2.38,0.22,0.16,0.026,0.3927,25,0.5089
SRRM4,2.33,2.37,0.13,0.12,0.026,0.1464,25,0.2301
PGAM4,2.59,2.54,0.28,0.19,-0.026,0.5235,25,0.6332
VDAC2,11.75,11.54,0.17,0.29,-0.026,0.0030,25,0.0079
VMAC,3.79,3.86,0.29,0.48,0.026,0.5431,25,0.6502
LRRC29,2.58,2.53,0.16,0.16,-0.026,0.3112,25,0.4248
OIT3,2.65,2.7,0.29,0.28,0.026,0.5885,25,0.6896
GNB5,3.35,3.29,0.6,0.4,-0.026,0.7413,25,0.8152
OR51F2,2.47,2.52,0.2,0.17,0.026,0.4748,25,0.5882
NEUROG1,2.41,2.36,0.15,0.15,-0.026,0.3516,25,0.4673
SPP2,2.09,2.05,0.23,0.15,-0.026,0.4899,25,0.6022
